beruf,bl,bundesland,trend_3y,trend_window,share_label,count_year,count_latest,group_id,beruf_id
Human-Resources-ManagerIn,AT11,Burgenland,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,99.0,285,1191
Human-Resources-ManagerIn,AT12,Niederösterreich,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,873.0,285,1191
Human-Resources-ManagerIn,AT13,Wien,tendenziell,2026-2028,74% - hoher Anteil,2025.0,2426.0,285,1191
Human-Resources-ManagerIn,AT21,Kärnten,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,287.0,285,1191
Human-Resources-ManagerIn,AT22,Steiermark,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,875.0,285,1191
Human-Resources-ManagerIn,AT31,Oberösterreich,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,1507.0,285,1191
Human-Resources-ManagerIn,AT32,Salzburg,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,606.0,285,1191
Human-Resources-ManagerIn,AT33,Tirol,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,545.0,285,1191
Human-Resources-ManagerIn,AT34,Vorarlberg,tendenziell,2026-2028,74% - hoher Anteil,2025.0,359.0,285,1191
Kultur- und EventmanagerIn,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,1166.0,285,1192
Kultur- und EventmanagerIn,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,2025.0,26.0,285,1192
Kultur- und EventmanagerIn,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,99.0,285,1192
Kultur- und EventmanagerIn,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,331.0,285,1192
Kultur- und EventmanagerIn,AT21,Kärnten,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,28.0,285,1192
Kultur- und EventmanagerIn,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,104.0,285,1192
