posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
linkedin:4427943256,CYBER SECURITY ANALYST:IN (W/M/D),cyber security analyst,out_of_scope,,\bsecurity\b|\bsicherheit|\bcyber|\bsoc\b|\bthreat\b|penetration,linkedin
linkedin:4456015326,Senior Systems Engineer – Datacenter & Private Cloud (f/m/x),senior systems engineer datacenter & private cloud,out_of_scope,,data ?cent(?:er|re),linkedin
karriere:7875388,Grafik- & Mediendesign mit KI-Fokus (m/w/x),grafik & mediendesi mit ki fokus,out_of_scope,,grafik,karriere
karriere:7875235,Senior Lead Security Analyst (m/w/d),senior lead security analyst,out_of_scope,,\bsecurity\b|\bsicherheit|\bcyber|\bsoc\b|\bthreat\b|penetration,karriere
linkedin:4461652410,Expert:in Digital Transformation & KI,expert digital transformation & ki,out_of_scope,,no_rule_matched,linkedin
eures:MTczMDc2NzUgNDM,Biomedizinische:r Analytiker:in,biomedizinische : r analytiker,out_of_scope,,biomedizinisch,eures
eures:MTczMzE3MDcgNDM,Biomedizinische:r Analytiker:in (m/w/d),biomedizinische : r analytiker,out_of_scope,,biomedizinisch,eures
linkedin:4403400074,Projektleiter für Microsoft 365 und KI Projekte,projektleiter für microsoft 365 und ki projekte,out_of_scope,,no_rule_matched,linkedin
linkedin:4458589823,Biomedizinische Analytik im Bereich Pathologie (all gender),biomedizinische analytik im bereich pathologie all gender,out_of_scope,,biomedizinisch,linkedin
eures:MTczNDA0NDIgNDM,Mitarbeiter_in (m/w/d) Labor Analytik,mitarbeiter labor analytik,out_of_scope,,\blabor|\bhplc\b|qualitätskontrolle|\bchemi(?:e|ker|sche)\b,eures
eures:MTczMzU2OTQgNDM,Mitarbeiter Zutrittskontrolle / Screening Officer Datacenter (m/w/d) - Schwechat - Vollzeit,mitarbeiter zutrittskontrolle / screening officer datacenter schwechat,out_of_scope,,data ?cent(?:er|re),eures
eures:MTcyNzg3ODYgNDM,Datacenter Systems Engineer (m/w/d),datacenter systems engineer,out_of_scope,,data ?cent(?:er|re),eures
