company_norm,postings,families,states,styria,graz_area,is_agency,sources,example_company
e-control,1,data_engineering,Wien,0,0,False,karriere,E-Control
durchblicker at | powered by netrisk,1,data_engineering,Wien,0,0,False,linkedin,durchblicker.at | Powered by Netrisk Group
drei,1,marketing_analytics,Wien,0,0,False,linkedin,Drei Österreich
donhauser,1,data_governance,Wien,0,0,False,willhaben,Donhauser GmbH
kienbaum consultants,1,data_analytics,Wien,0,0,False,karriere,Kienbaum Consultants Austria GmbH
keyrock,1,data_engineering,Wien,0,0,False,linkedin,Keyrock
keyone,1,data_engineering,Tirol,0,0,False,linkedin,keyone
keba,1,bi,Oberösterreich,0,0,False,jobsat,KEBA Group AG
kapsch aktiengesellschaft,1,data_engineering,Wien,1,1,False,jobsat,Kapsch Aktiengesellschaft
jysk,1,data_analytics,Oberösterreich,0,0,False,linkedin,JYSK
lpdigital personalmanagement,1,data_engineering,Wien,0,0,True,linkedin,LPdigital Personalmanagement
lpdigital personalberatung,1,data_engineering,Wien,0,0,True,jobsat,LPdigital Personalberatung GmbH
list general contractor,1,data_engineering,Niederösterreich,0,0,False,karriere,List General Contractor GmbH
lindlpower personalmanagement,1,business_analysis,Oberösterreich,0,0,True,jobsat,LINDLPOWER Personalmanagement GmbH
lely deutschland,1,data_analytics,Oberösterreich,0,0,False,linkedin,Lely Deutschland GmbH
lars nysøm,1,bi,Wien,0,0,False,linkedin,LARS NYSØM
lantenhammer consulting,1,bi,,0,0,False,eures,Lantenhammer Consulting
lam research,1,data_science,Kärnten,0,0,False,linkedin,Lam Research
kwizda,1,bi,Wien,0,0,False,eures,Kwizda Holding
kununu,1,data_science,Wien,0,0,False,linkedin,kununu
ktm,1,bi,Oberösterreich,0,0,False,karriere,KTM AG
kotányi,1,bi,Niederösterreich,0,0,False,jobsat,Kotányi GmbH
kotanyi,1,bi,Niederösterreich,0,0,False,eures,Kotanyi
kontron transportation,1,data_engineering,Wien,0,0,False,linkedin,Kontron Transportation
epunkt,1,data_governance,Oberösterreich,0,0,True,karriere,epunkt GmbH
epmedia werbeagentur,1,data_science,Wien,0,0,False,linkedin,epmedia Werbeagentur GmbH
digitl,1,data_science,Wien,0,0,False,linkedin,Digitl
devjobs,1,data_analytics,Salzburg,0,0,False,linkedin,DEVjobs
denzel,1,data_engineering,Wien,0,0,False,karriere,DENZEL Gruppe
denizbank,1,data_analytics,Wien,0,0,False,linkedin,DenizBank AG
delta,1,data_science,Wien,0,0,False,karriere,DELTA Gruppe
deel,1,data_analytics,,0,0,False,linkedin,Deel
daiichi sankyo,1,data_science,Wien,0,0,False,linkedin,Daiichi Sankyo Europe GmbH
cwa constructions sa,1,data_engineering,Vorarlberg,0,0,False,linkedin,CWA Constructions SA
crowndental ai,1,data_science,Wien,0,0,False,eures,CrownDental.AI
corda business & information engineering,1,business_analysis,Wien,0,0,False,karriere,corda business & information engineering gmbh
convertinvest financial services,1,bi,Niederösterreich,0,0,False,karriere,CONVERTINVEST Financial Services GmbH
meinhart kabel,1,data_governance,Oberösterreich,0,0,False,karriere,Meinhart Kabel Österreich GmbH
mediamarkt,1,business_analysis,Niederösterreich,0,0,False,willhaben,MediaMarkt Österreich GmbH
marionnaud,1,data_analytics,Wien,0,0,False,linkedin,MARIONNAUD
manpowergroup,1,data_engineering,Oberösterreich,0,0,True,eures,ManpowerGroup
maco produktions,1,data_engineering,Steiermark,1,0,False,eures,Maco Produktions
oper credits,1,business_analysis,Wien,0,0,False,linkedin,Oper Credits
openbet,1,data_engineering,Tirol,0,0,False,linkedin,OpenBet
omninet,1,bi,Steiermark,1,1,False,linkedin,OMNINET
oesterreichische kontrollbank aktiengesellschaft,1,data_engineering,Wien,0,0,False,jobsat,Oesterreichische Kontrollbank Aktiengesellschaft
nö landesgesundheitsagentur,1,data_governance,Niederösterreich,0,0,False,karriere,NÖ Landesgesundheitsagentur
novartis,1,data_analytics,Wien,0,0,False,linkedin,Novartis
