family_before,sample_pos,posting_uid,title,normalized_title_before,manual_label,family_after,normalized_title_after,kept_in_family_after
business_analysis,23,jobsat:7898903,Expert:in Kreditrisikomanagement (m/w/d) Verantwortung mit analytischem Fokus,Business Analyst,FP,business_analysis,Business Analyst,True
business_analysis,24,eures:MTczMTg3MjggNDM,Software Requirement Engineer (m/w/d) Embedded Systeme,Business Analyst,FP,out_of_scope,,False
business_analysis,25,linkedin:4355816253,Business Analyst (m/w/d) – Buchungssystem (Freelance),Business Analyst,TP,business_analysis,Business Analyst,True
data_analytics,1,eures:MTczMzUzNzggNDM,Business Data Analyst*in,Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,2,linkedin:4465811811,Team Lead Data & Analytics (m/f/d),Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,3,linkedin:4464521309,Postdoctoral Researcher (Quantitative Methods) (m/f/d),Financial / Risk / Controlling Analyst (data-heavy),FP,other_data,Actuary / Mathematician (adjacent),False
data_analytics,4,linkedin:4408261138,Data-Analyst (w/m/x),Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,5,eures:MTczNDMxNjEgNDM,Research Analyst Sustainable IT / GreenOps (w/m/d),Financial / Risk / Controlling Analyst (data-heavy),TP,data_analytics,Financial / Risk / Controlling Analyst (data-heavy),True
data_analytics,6,karriere:7877173,Senior Data Analyst Logistik (m/w/d),Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,7,linkedin:4398105569,"Online Data Analyst (m,f,d) - Austria",Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,8,karriere:10029965,Data Analyst/Scientist,Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,9,linkedin:4463876224,"Manager, Market Research & Business Development",Financial / Risk / Controlling Analyst (data-heavy),FP,out_of_scope,,False
data_analytics,10,willhaben:13251333,HR Reporting & Analytics Specialist (m/w/d),Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,11,linkedin:4466403554,Consultant - quantitative Methoden & Strategy (w|m|d),Financial / Risk / Controlling Analyst (data-heavy),borderline,other_data,Actuary / Mathematician (adjacent),False
data_analytics,12,linkedin:4466888211,Datenanalyst @ Quehenberger Logistics,Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,13,eures:MTczMzk3MDggNDM,Commercial Pricing Analyst (w/m/d),Financial / Risk / Controlling Analyst (data-heavy),TP,data_analytics,Financial / Risk / Controlling Analyst (data-heavy),True
data_analytics,14,karriere:10030885,HR-Analyst:in (m/w/d),Financial / Risk / Controlling Analyst (data-heavy),TP,data_analytics,Financial / Risk / Controlling Analyst (data-heavy),True
data_analytics,15,eures:MTczMjI2MTIgNDM,Spezialist Digitalisierung & Data Analytics (m/w/d),Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,16,linkedin:4453099707,Data Analyst:in im Meldewesen,Data Analyst,TP,data_analytics,Data Analyst,True
data_analytics,17,karriere:10031283,Supply Chain Analyst (m/w/d),Financial / Risk / Controlling Analyst (data-heavy),TP,data_analytics,Financial / Risk / Controlling Analyst (data-heavy),True
data_analytics,18,karriere:7850060,Controlling Business Analyst*in (w/m/d),Financial / Risk / Controlling Analyst (data-heavy),TP,data_analytics,Financial / Risk / Controlling Analyst (data-heavy),True
data_analytics,19,eures:MTczMTcxODIgNDM,Quantitative_r Risikomanager_in,Financial / Risk / Controlling Analyst (data-heavy),TP,other_data,Actuary / Mathematician (adjacent),False
data_analytics,20,eures:MTcyMjc2NTIgNDM,Daten Analyst_in (27297),Data Analyst,TP,data_analytics,Data Analyst,True
